>	L[313760105000076]	366	0.54
>	L[313760105000076] tel	18
>	L[SHC1]	41	20.00
>	L[SHC1] tel	2
RC[313760105000075]		174	Dist (km)
>	L[313760105000076]	165	0.26
>	L[313760105000076] tel	8
RC[313760105000076]		179	Dist (km)
>	L[313760105000076]	179	0.00
RC[313760105000077]		314	Dist (km)
>	L[313760105000076]	299	0.26
>	L[313760105000076] tel	14
RC[313760105000078]		238	Dist (km)
>	L[313760105000080]	226	0.34
>	L[313760105000080] tel	11
RC[313760105000080]		263	Dist (km)
>	L[313760105000080]	263	0.00
RC[313760105000081]		184	Dist (km)
>	L[313760105000080]	147	1.03
>	L[313760105000080] tel	7
>	L[SHC1]	27	20.00
>	L[SHC1] tel	1
RC[313760105000082]		176	Dist (km)
>	L[313760105000080]	167	0.57
>	L[313760105000080] tel	8
RC[313760105000083]		373	Dist (km)
>	L[313760105000080]	301	0.67
>	L[313760105000080] tel	15
>	L[SHC1]	53	20.00
>	L[SHC1] tel	2
RC[313760105000084]		151	Dist (km)
>	L[313760105000076]	143	0.36
>	L[313760105000076] tel	7
RC[313760105000085]		182	Dist (km)
>	L[313760105000076]	173	0.35
>	L[313760105000076] tel	8
RC[313760105000086]		390	Dist (km)
>	L[313760105000076]	371	0.53
>	L[313760105000076] tel	18
RC[313760105000087]		179	Dist (km)
>	L[313760105000270]	143	1.12
>	L[313760105000270] tel	7
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
RC[313760105000088]		331	Dist (km)
>	L[313760105000270]	265	0.73
>	L[313760105000270] tel	13
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
RC[313760105000089]		219	Dist (km)
>	L[313760105000013]	208	0.53
>	L[313760105000013] tel	10
RC[313760105000090]		533	Dist (km)
>	L[313760105000270]	507	0.47
>	L[313760105000270] tel	25
RC[313760105000091]		339	Dist (km)
>	L[313760105000270]	322	0.44
>	L[313760105000270] tel	16
RC[313760105000092]		58	Dist (km)
>	L[313760105000270]	55	0.63
>	L[313760105000270] tel	2
RC[313760105000094]		505	Dist (km)
>	L[313760105000013]	480	0.75
>	L[313760105000013] tel	24
RC[313760105000095]		295	Dist (km)
>	L[313760105000013]	221	0.63
>	L[313760105000013] tel	11
>	L[SHC1]	44	20.00
>	L[SHC1] tel	2
>	L[THC1]	14	25.00
>	L[THC1] tel	0
RC[313760105000096]		180	Dist (km)
>	L[313760105000201]	135	0.88
>	L[313760105000201] tel	6
>	L[SHC1]	27	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000097]		179	Dist (km)
>	L[313760105000013]	142	1.21
>	L[313760105000013] tel	7
>	L[SHC1]	26	20.00
>	L[SHC1] tel	1
>	L[THC1]	0	25.00
>	L[THC1] tel	0
RC[313760105000098]		193	Dist (km)
>	L[313760105000013]	145	1.25
>	L[313760105000013] tel	7
>	L[SHC1]	28	20.00
>	L[SHC1] tel	1
>	L[THC1]	9	25.00
>	L[THC1] tel	0
RC[313760105000099]		467	Dist (km)
>	L[313760105000125]	357	1.53
>	L[313760105000125] tel	17
>	L[SHC1]	70	20.00
>	L[SHC1] tel	3
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000101]		37	Dist (km)
>	L[313760105000201]	35	1.14
>	L[313760105000201] tel	1
RC[313760105000102]		1106	Dist (km)
>	L[313760105000102]	927	0.00
>	L[SHC1]	165	20.00
>	L[SHC1] tel	8
>	L[THC1]	4	25.00
>	L[THC1] tel	0
RC[313760105000103]		301	Dist (km)
>	L[313760105000102]	226	0.87
>	L[313760105000102] tel	11
>	L[SHC1]	45	20.00
>	L[SHC1] tel	2
>	L[THC1]	15	25.00
>	L[THC1] tel	0
RC[313760105000105]		585	Dist (km)
>	L[313760105000102]	440	0.80
>	L[313760105000102] tel	22
>	L[SHC1]	87	20.00
>	L[SHC1] tel	4
>	L[THC1]	29	25.00
>	L[THC1] tel	1
RC[313760105000106]		773	Dist (km)
>	L[313760105000285]	620	1.15
>	L[313760105000285] tel	31
>	L[SHC1]	115	20.00
>	L[SHC1] tel	5
RC[313760105000108]		166	Dist (km)
>	L[313760105000125]	133	0.50
>	L[313760105000125] tel	6
>	L[SHC1]	24	20.00
>	L[SHC1] tel	1
RC[313760105000109]		397	Dist (km)
>	L[313760105000125]	298	0.26
>	L[313760105000125] tel	14
>	L[SHC1]	59	20.00
>	L[SHC1] tel	2
>	L[THC1]	19	25.00
>	L[THC1] tel	0
RC[313760105000110]		359	Dist (km)
>	L[313760105000125]	288	1.04
>	L[313760105000125] tel	14
>	L[SHC1]	53	20.00
>	L[SHC1] tel	2
RC[313760105000112]		86	Dist (km)
>	L[313760105000285]	81	0.93
>	L[313760105000285] tel	4
RC[313760105000114]		11	Dist (km)
>	L[313760105000285]	10	0.98
>	L[313760105000285] tel	0
RC[313760105000115]		0	Dist (km)
RC[313760105000118]		301	Dist (km)
>	L[313760105000235]	239	1.38
>	L[313760105000235] tel	11
>	L[SHC1]	45	20.00
>	L[SHC1] tel	2
>	L[THC1]	2	25.00
>	L[THC1] tel	0
RC[313760105000120]		330	Dist (km)
>	L[313760105000235]	264	1.02
>	L[313760105000235] tel	13
>	L[SHC1]	49	20.00
>	L[SHC1] tel	2
RC[313760105000122]		378	Dist (km)
>	L[313760105000122]	378	0.00
RC[313760105000123]		99	Dist (km)
>	L[313760105000125]	79	0.59
>	L[313760105000125] tel	3
>	L[SHC1]	14	20.00
>	L[SHC1] tel	0
RC[313760105000124]		206	Dist (km)
>	L[313760105000125]	154	0.26
>	L[313760105000125] tel	7
>	L[SHC1]	30	20.00
>	L[SHC1] tel	1
>	L[THC1]	10	25.00
>	L[THC1] tel	0
RC[313760105000125]		124	Dist (km)
>	L[313760105000125]	97	0.00
>	L[SHC1]	18	20.00
>	L[SHC1] tel	0
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[313760105000126]		178	Dist (km)
>	L[313760105000168]	169	0.37
>	L[313760105000168] tel	8
RC[313760105000127]		425	Dist (km)
>	L[313760105000168]	404	0.25
>	L[313760105000168] tel	20
RC[313760105000128]		773	Dist (km)
>	L[313760105000180]	736	0.58
>	L[313760105000180] tel	36
RC[313760105000129]		378	Dist (km)
>	L[313760105000180]	360	0.70
>	L[313760105000180] tel	18
RC[313760105000132]		336	Dist (km)
>	L[313760105000132]	283	0.00
>	L[SHC1]	50	20.00
>	L[SHC1] tel	2
RC[313760105000133]		493	Dist (km)
>	L[313760105000242]	469	0.42
>	L[313760105000242] tel	23
RC[313760105000134]		253	Dist (km)
>	L[313760105000180]	240	0.72
>	L[313760105000180] tel	12
RC[313760105000135]		340	Dist (km)
>	L[313760105000135]	268	0.00
>	L[SHC1]	51	20.00
>	L[SHC1] tel	2
>	L[THC1]	17	25.00
>	L[THC1] tel	0
RC[313760105000136]		302	Dist (km)
>	L[313760105000135]	227	0.53
>	L[313760105000135] tel	11
>	L[SHC1]	45	20.00
>	L[SHC1] tel	2
>	L[THC1]	15	25.00
>	L[THC1] tel	0
RC[313760105000138]		554	Dist (km)
>	L[313760105000139]	527	0.21
>	L[313760105000139] tel	26
RC[313760105000139]		324	Dist (km)
>	L[313760105000139]	324	0.00
RC[313760105000140]		527	Dist (km)
>	L[313760105000186]	422	0.29
>	L[313760105000186] tel	21
>	L[SHC1]	79	20.00
>	L[SHC1] tel	3
RC[313760105000141]		200	Dist (km)
>	L[313760105000186]	150	0.52
>	L[313760105000186] tel	7
>	L[SHC1]	30	20.00
>	L[SHC1] tel	1
>	L[THC1]	10	25.00
>	L[THC1] tel	0
RC[313760105000142]		226	Dist (km)
>	L[313760105000135]	170	0.67
>	L[313760105000135] tel	8
>	L[SHC1]	33	20.00
>	L[SHC1] tel	1
>	L[THC1]	11	25.00
>	L[THC1] tel	0
RC[313760105000144]		84	Dist (km)
>	L[313760105000270]	80	1.61
>	L[313760105000270] tel	4
RC[313760105000145]		382	Dist (km)
>	L[313760105000270]	363	1.50
>	L[313760105000270] tel	18
RC[313760105000146]		68	Dist (km)
>	L[313760105000264]	54	3.17
>	L[313760105000264] tel	2
>	L[SHC1]	10	20.00
>	L[SHC1] tel	0
RC[313760105000147]		306	Dist (km)
>	L[313760105000180]	291	1.78
