Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3118602191024]	eSF	1.0	2.98	1.0	0.0	2.0	0.0	1.0
[3118602191024]	eSB	0.0	2.98	0.0	2.0	2.0	0.0	1.0
[3118602191024]	eMulti	0.0	0.36	0.0	0.0	0.0	0.0	0.4
[3118602191024]	ACS	3.0	12.00	0.0	9.0	12.0	0.0	0.0
[3118602190478]	eSF	1.0	2.77	1.0	0.0	2.0	0.0	0.8
[3118602190478]	eSB	0.0	2.77	0.0	2.0	2.0	0.0	0.8
[3118602190478]	eMulti	0.0	0.31	0.0	0.0	0.0	0.0	0.3
[3118602190478]	ACS	3.0	11.00	0.0	8.0	11.0	0.0	0.0
[3118602190389]	eSF	2.0	4.54	2.0	0.0	4.0	0.0	0.5
[3118602190389]	eSB	0.0	4.54	0.0	4.0	4.0	0.0	0.5
[3118602190389]	eMulti	0.0	0.49	0.0	0.0	0.0	0.0	0.5
[3118602190389]	ACS	6.0	18.00	0.0	12.0	18.0	0.0	0.0
[3118607110316]	eSF	5.0	4.95	-1.0	0.0	4.0	0.0	1.0
[3118607110316]	eSB	2.0	4.95	0.0	2.0	4.0	0.0	1.0
[3118607110316]	eMulti	1.0	0.60	0.0	0.0	1.0	0.4	0.0
[3118607110316]	ACS	14.0	19.96	0.0	5.0	19.0	0.0	1.0
[3118602220261]	eSF	1.0	2.98	1.0	0.0	2.0	0.0	1.0
[3118602220261]	eSB	0.0	2.98	0.0	2.0	2.0	0.0	1.0
[3118602220261]	eMulti	0.0	0.36	0.0	0.0	0.0	0.0	0.4
[3118602220261]	ACS	3.0	12.00	0.0	9.0	12.0	0.0	0.0
[3118602190397]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190397]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190397]	eMulti	0.0	0.22	0.0	0.0	0.0	0.0	0.2
[3118602190397]	ACS	5.0	8.00	0.0	3.0	8.0	0.0	0.0
[3118602190176]	eSF	1.0	1.77	0.0	0.0	1.0	0.0	0.8
[3118602190176]	eSB	0.0	1.77	0.0	1.0	1.0	0.0	0.8
[3118602190176]	eMulti	0.0	0.19	0.0	0.0	0.0	0.0	0.2
[3118602190176]	ACS	3.0	7.00	0.0	4.0	7.0	0.0	0.0
[3118602191059]	eSF	4.0	5.00	0.0	0.0	4.0	0.0	1.0
[3118602191059]	eSB	4.0	5.00	0.0	1.0	5.0	0.0	0.0
[3118602191059]	eMulti	0.0	0.56	0.0	0.0	0.0	0.0	0.6
[3118602191059]	ACS	8.0	20.00	0.0	11.0	19.0	0.0	1.0
[3118602191040]	eSF	1.0	1.99	0.0	0.0	1.0	0.0	1.0
[3118602191040]	eSB	0.0	1.99	0.0	1.0	1.0	0.0	1.0
[3118602191040]	eMulti	0.0	0.24	0.0	0.0	0.0	0.0	0.2
[3118602191040]	ACS	3.0	8.00	0.0	5.0	8.0	0.0	0.0
[3118602190451]	eSF	2.0	4.63	0.0	2.0	4.0	0.0	0.6
[3118602190451]	eSB	1.0	4.63	0.0	3.0	4.0	0.0	0.6
[3118602190451]	eMulti	0.0	0.51	0.0	0.0	0.0	0.0	0.5
[3118602190451]	ACS	8.0	18.40	0.0	10.0	18.0	0.0	0.4
[3118602190206]	eSF	2.0	4.55	0.0	2.0	4.0	0.0	0.5
[3118602190206]	eSB	2.0	4.55	0.0	2.0	4.0	0.0	0.5
[3118602190206]	eMulti	0.0	0.49	0.0	0.0	0.0	0.0	0.5
[3118602190206]	ACS	4.0	18.00	0.0	13.0	17.0	0.0	1.0
[3118602190966]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190966]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190966]	eMulti	0.0	0.22	0.0	0.0	0.0	0.0	0.2
[3118602190966]	ACS	4.0	8.00	0.0	4.0	8.0	0.0	0.0
[3118602190400]	eSF	1.0	2.77	1.0	0.0	2.0	0.0	0.8
[3118602190400]	eSB	0.0	2.77	0.0	2.0	2.0	0.0	0.8
[3118602190400]	eMulti	0.0	0.30	0.0	0.0	0.0	0.0	0.3
[3118602190400]	ACS	5.0	11.00	0.0	6.0	11.0	0.0	0.0
[3118602190877]	eSF	2.0	3.00	0.0	0.0	2.0	0.0	1.0
[3118602190877]	eSB	1.0	3.00	0.0	1.0	2.0	0.0	1.0
[3118602190877]	eMulti	0.0	0.31	0.0	0.0	0.0	0.0	0.3
[3118602190877]	ACS	7.0	11.79	0.0	6.0	13.0	1.2	0.0
[3118602190826]	eSF	3.0	2.78	-1.0	0.0	2.0	0.0	0.8
[3118602190826]	eSB	1.0	2.78	0.0	1.0	2.0	0.0	0.8
[3118602190826]	eMulti	0.0	0.29	0.0	0.0	0.0	0.0	0.3
[3118602190826]	ACS	8.0	11.00	0.0	2.0	10.0	0.0	1.0
[3118602190729]	eSF	2.0	2.00	-1.0	0.0	1.0	0.0	1.0
[3118602190729]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190729]	eMulti	0.0	0.22	0.0	0.0	0.0	0.0	0.2
[3118602190729]	ACS	8.0	8.00	0.0	0.0	8.0	0.0	0.0
[3118602190656]	eSF	2.0	2.00	-1.0	0.0	1.0	0.0	1.0
[3118602190656]	eSB	2.0	2.00	0.0	0.0	2.0	0.0	0.0
[3118602190656]	eMulti	1.0	0.24	0.0	0.0	1.0	0.8	0.0
[3118602190656]	ACS	8.0	8.04	0.0	0.0	8.0	0.0	0.0
[3118602190834]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190834]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190834]	eMulti	0.0	0.23	0.0	0.0	0.0	0.0	0.2
[3118602190834]	ACS	0.0	8.01	0.0	8.0	8.0	0.0	0.0
[3118602190710]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190710]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190710]	eMulti	0.0	0.21	0.0	0.0	0.0	0.0	0.2
[3118602190710]	ACS	17.0	8.00	-9.0	0.0	8.0	0.0	0.0
[3118602190796]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190796]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190796]	eMulti	0.0	0.21	0.0	0.0	0.0	0.0	0.2
[3118602190796]	ACS	0.0	7.95	0.0	7.0	7.0	0.0	1.0
[3118602190648]	eSF	1.0	2.00	0.0	0.0	1.0	0.0	1.0
[3118602190648]	eSB	0.0	2.00	0.0	1.0	1.0	0.0	1.0
[3118602190648]	eMulti	0.0	0.21	0.0	0.0	0.0	0.0	0.2
[3118602190648]	ACS	5.0	8.00	1.0	2.0	8.0	0.0	0.0
[3118602190818]	eSF	3.0	2.00	-2.0	0.0	1.0	0.0	1.0
[3118602190818]	eSB	0.0	2.00	0.0	2.0	2.0	0.0	0.0
[3118602190818]	eMulti	0.0	0.23	0.0	0.0	0.0	0.0	0.2
[3118602190818]	ACS	6.0	8.01	1.0	3.0	10.0	2.0	0.0
[3118602190885]	eSF	3.0	4.57	1.0	0.0	4.0	0.0	0.6
[3118602190885]	eSB	1.0	4.57	0.0	3.0	4.0	0.0	0.6
[3118602190885]	eMulti	0.0	0.49	0.0	0.0	0.0	0.0	0.5
[3118602190885]	ACS	8.0	18.11	1.0	9.0	18.0	0.0	0.1
[3118607053355]	eSF	1.0	4.55	0.0	3.0	4.0	0.0	0.5
[3118607053355]	eSB	0.0	4.55	0.0	4.0	4.0	0.0	0.5
[3118607053355]	eMulti	0.0	0.49	0.0	0.0	0.0	0.0	0.5
[3118607053355]	ACS	4.0	18.00	0.0	14.0	18.0	0.0	0.0
[3118602190192]	eSF	1.0	1.98	0.0	0.0	1.0	0.0	1.0
[3118602190192]	eSB	0.0	1.98	0.0	1.0	1.0	0.0	1.0
[3118602190192]	eMulti	0.0	0.24	0.0	0.0	0.0	0.0	0.2
[3118602190192]	ACS	2.0	7.98	0.0	6.0	8.0	0.0	0.0
[3118602190214]	eSF	2.0	2.97	0.0	0.0	2.0	0.0	1.0
