>	L[CLU_3171]	2266	4.88
>	L[CLU_3172]	1862	4.45
>	L[CLU_3173]	534	4.83
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190478]		9000	Dist (km)
>	L[CLU_1868]	27	4.92
>	L[CLU_2927]	477	3.81
>	L[CLU_2929]	35	4.24
>	L[CLU_3029]	1752	1.07
>	L[CLU_3032]	1313	0.00
>	L[CLU_3162]	2041	4.27
>	L[CLU_3165]	137	4.43
>	L[CLU_3166]	969	4.62
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190389]		15000	Dist (km)
>	L[CLU_2926]	1609	4.51
>	L[CLU_2929]	1017	4.84
>	L[CLU_2930]	235	4.88
>	L[CLU_3019]	2053	1.37
>	L[CLU_3031]	1181	1.39
>	L[CLU_3037]	2218	0.00
>	L[CLU_3165]	1530	4.96
>	L[CLU_3175]	1406	4.49
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118607110316]		15000	Dist (km)
>	L[CLU_3024]	1275	3.01
>	L[CLU_3034]	964	3.06
>	L[CLU_3040]	52	1.72
>	L[CLU_3047]	1727	3.24
>	L[CLU_3056]	525	2.63
>	L[CLU_3057]	8	3.29
>	L[CLU_3060]	73	2.44
>	L[CLU_3061]	2363	4.32
>	L[CLU_3064]	2256	3.71
>	L[CLU_3065]	1029	4.55
>	L[CLU_7934]	247	4.25
>	L[CLU_7935]	732	4.35
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602220261]		9000	Dist (km)
>	L[CLU_2932]	2107	2.11
>	L[CLU_2938]	111	1.34
>	L[CLU_3172]	369	4.20
>	L[CLU_3174]	2324	4.74
>	L[CLU_3186]	1104	3.64
>	L[CLU_3187]	596	4.28
>	L[CLU_3189]	9	4.01
>	L[CLU_3190]	130	4.40
>	L[SHC1]	1800	20.00
>	L[THC1]	450	25.00
PHC[3118602190397]		6000	Dist (km)
>	L[CLU_2932]	772	3.73
>	L[CLU_2938]	442	3.01
>	L[CLU_3023]	518	1.70
>	L[CLU_3046]	1180	0.00
>	L[CLU_3163]	1579	4.93
>	L[CLU_7925]	9	3.90
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190176]		6000	Dist (km)
>	L[CLU_3022]	2023	0.61
>	L[CLU_3026]	1672	1.38
>	L[CLU_3054]	806	0.36
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602191059]		15000	Dist (km)
>	L[CLU_2928]	1115	2.64
>	L[CLU_2931]	575	3.23
>	L[CLU_2933]	1410	1.74
>	L[CLU_2935]	1771	1.91
>	L[CLU_2938]	1229	0.87
>	L[CLU_3027]	1057	0.29
>	L[CLU_3058]	451	0.00
>	L[CLU_3152]	568	4.99
>	L[CLU_3177]	224	4.61
>	L[CLU_3190]	1869	3.91
>	L[CLU_3193]	980	4.43
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602191040]		6000	Dist (km)
>	L[CLU_2938]	74	1.27
>	L[CLU_3147]	1645	4.35
>	L[CLU_3151]	505	4.18
>	L[CLU_3168]	344	3.79
>	L[CLU_3169]	1158	3.86
>	L[CLU_3180]	775	3.82
>	L[SHC1]	1200	20.00
>	L[THC1]	300	25.00
PHC[3118602190451]		15000	Dist (km)
>	L[CLU_2923]	983	4.84
>	L[CLU_3029]	459	3.33
>	L[CLU_3033]	174	1.95
>	L[CLU_3035]	1523	1.77
>	L[CLU_3045]	2139	1.14
>	L[CLU_3062]	2176	2.96
>	L[CLU_3063]	1499	2.40
>	L[CLU_3066]	2297	0.00
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602190206]		15000	Dist (km)
>	L[CLU_1826]	1740	0.76
>	L[CLU_3050]	1788	3.32
>	L[CLU_3053]	424	3.59
>	L[CLU_3067]	1184	0.53
>	L[CLU_3074]	2277	0.59
>	L[CLU_3075]	1027	0.95
>	L[CLU_3083]	2253	0.00
>	L[CLU_3084]	557	0.86
>	L[SHC1]	3000	20.00
>	L[THC1]	750	25.00
PHC[3118602190966]		6000	Dist (km)
>	L[CLU_1818]	367	1.67
>	L[CLU_1821]	926	1.01
>	L[CLU_3040]	431	4.99
