SHC[SHC1]		214525	Dist (km)
>	L[CLU_3170]	2321	20.00
>	L[CLU_3171]	645	20.00
>	L[CLU_3172]	593	20.00
>	L[CLU_3173]	142	20.00
>	L[CLU_3176]	669	20.00
>	L[CLU_3179]	625	20.00
>	L[CLU_3181]	1792	20.00
>	L[CLU_3182]	433	20.00
>	L[CLU_3183]	573	20.00
>	L[CLU_3185]	1270	20.00
>	L[CLU_3187]	159	20.00
>	L[CLU_3188]	2707	20.00
>	L[CLU_3189]	2850	20.00
>	L[CLU_3190]	531	20.00
>	L[CLU_3192]	266	20.00
>	L[CLU_3193]	1860	20.00
>	L[CLU_3194]	132	20.00
>	L[CLU_3195]	610	20.00
>	L[CLU_3196]	888	20.00
>	L[CLU_3197]	318	20.00
>	L[CLU_3199]	447	20.00
>	L[CLU_3200]	659	20.00
>	L[CLU_3203]	1216	20.00
>	L[CLU_3204]	918	20.00
>	L[CLU_3206]	2708	20.00
>	L[CLU_3207]	227	20.00
>	L[CLU_3208]	330	20.00
>	L[CLU_3209]	313	20.00
>	L[CLU_3211]	583	20.00
>	L[CLU_3212]	730	20.00
>	L[CLU_3213]	256	20.00
>	L[CLU_3214]	609	20.00
>	L[CLU_3215]	1594	20.00
>	L[CLU_3216]	320	20.00
>	L[CLU_3217]	606	20.00
>	L[CLU_3711]	95	20.00
>	L[CLU_3731]	139	20.00
>	L[CLU_4344]	498	20.00
>	L[CLU_7876]	233	20.00
>	L[CLU_7904]	102	20.00
>	L[CLU_7923]	360	20.00
>	L[CLU_7925]	2	20.00
>	L[CLU_7926]	12	20.00
>	L[CLU_7932]	101	20.00
>	L[CLU_7933]	14	20.00
>	L[CLU_7934]	66	20.00
>	L[CLU_7936]	91	20.00
>	L[CLU_7937]	0	20.00
>	L[CLU_7938]	27	20.00
>	L[CLU_7939]	607	20.00
>	L[CLU_7941]	117	20.00
>	L[CLU_7943]	68	20.00
>	L[CLU_7945]	13	20.00
>	L[CLU_7949]	80	20.00
>	L[CLU_7951]	16	20.00
>	L[CLU_7952]	8	20.00
>	L[CLU_948]	336	20.00
>	L[CLU_952]	390	20.00
>	L[CLU_956]	259	20.00
>	L[3118602190494]	3750	20.00
>	L[3118602190605]	1500	20.00
>	L[3118602190915]	3000	20.00
>	L[3118602190389]	1901	20.00
>	L[3118602190397]	1500	20.00
>	L[3118602190451]	3750	20.00
>	L[3118602190206]	3750	20.00
>	L[3118602190400]	2250	20.00
>	L[3118602190826]	1122	20.00
>	L[3118602190729]	1428	20.00
>	L[3118602190656]	1500	20.00
>	L[3118602190834]	1500	20.00
>	L[3118602190796]	1485	20.00
>	L[3118602190648]	1307	20.00
>	L[3118602190818]	463	20.00
>	L[3118602190885]	3750	20.00
>	L[3118607053355]	3750	20.00
>	L[CLU_2971]	750	20.00
>	L[CLU_3055]	750	20.00
>	L[CLU_3060]	750	20.00
>	L[CLU_3086]	750	20.00
>	L[CLU_3098]	700	20.00
>	L[CLU_3108]	750	20.00
>	L[CLU_7923]	750	20.00
>	L[THC1]	21452	20.00
