>	L[313760105000161]	452	0.72
>	L[313760105000166]	385	1.26
>	L[313760105000167]	333	1.28
>	L[313760105000173]	187	1.86
>	L[313760105000174]	153	2.38
>	L[313760105000205]	142	0.94
>	L[313760105000206]	109	0.68
>	L[313760105000215]	189	2.63
>	L[313760105000216]	178	1.67
>	L[313760105000230]	76	2.92
>	L[313760105000231]	120	3.11
>	L[313760105000234]	388	0.35
>	L[313760105000235]	393	0.00
>	L[SHC1]	1489	20.00
>	L[THC1]	310	25.00
PHC[313760105000239]		2909	Dist (km)
>	L[313760105000005]	397	0.32
>	L[313760105000007]	246	0.72
>	L[313760105000008]	425	0.47
>	L[313760105000071]	232	0.69
>	L[313760105000211]	190	0.83
>	L[313760105000239]	350	0.00
>	L[313760105000241]	225	0.29
>	L[SHC1]	698	20.00
>	L[THC1]	145	25.00
PHC[313760105000259]		3120	Dist (km)
>	L[313760105000002]	200	0.78
>	L[313760105000003]	262	0.57
>	L[313760105000068]	154	0.35
>	L[313760105000069]	90	0.24
>	L[313760105000189]	172	1.04
>	L[313760105000196]	103	1.19
>	L[313760105000246]	137	0.32
>	L[313760105000247]	117	0.39
>	L[313760105000258]	239	0.28
>	L[313760105000259]	334	0.00
>	L[313760105000276]	384	0.53
>	L[313760105000277]	21	0.79
>	L[SHC1]	749	20.00
>	L[THC1]	156	25.00
PHC[313760105000264]		799	Dist (km)
>	L[313760105000146]	68	3.17
>	L[313760105000264]	324	0.00
>	L[313760105000280]	175	2.52
>	L[SHC1]	192	20.00
>	L[THC1]	40	25.00
PHC[313760114000010]		626	Dist (km)
>	L[313760105000048]	28	4.36
>	L[313760114000002]	105	3.85
>	L[313760114000007]	273	2.60
>	L[313760114000008]	32	3.11
>	L[313760114000010]	7	0.00
>	L[SHC1]	150	20.00
>	L[THC1]	31	25.00
PHC[313760115000006]		2500	Dist (km)
>	L[313760115000002]	92	2.81
>	L[313760115000007]	43	3.69
>	L[313760115000008]	354	2.52
>	L[313760115000009]	110	3.25
>	L[313760115000010]	135	2.11
>	L[313760115000011]	356	1.72
>	L[313760115000018]	394	2.57
>	L[313760115000019]	43	2.31
>	L[313760115000033]	248	3.08
>	L[SHC1]	600	20.00
>	L[THC1]	125	25.00
