id_setor,populacao,ivs,area_km2,dens_pop_km2,min_dist_exist_km,cnes_mais_proxima,centralidade_km,n_area,n_dens,n_cent,score,rank_abnc
311860105280069,229,0.475433,10.184074710092482,22.48608798726305,2.7704877021434613,2190818,2.7704877021434613,1.0,0.0003656148926932778,0.6393889720122945,0.4919629375607656,1
311860110070068,367,0.470051,0.005967274774271,61502.11174829553,1.118684475740452,2190044,1.118684475740452,1.0182552701091608e-05,1.0,0.04242689839275105,0.4127311242836356,2
311860105280055,118,0.509581,3.233288951151694,36.495346312295574,3.7683039551843938,2190885,3.7683039551843938,0.31709160800569064,0.0005933998894486254,1.0,0.39536484235748665,3
311860110010033,593,0.470051,0.010016820093253,59200.424334208146,1.072179013779052,2191202,1.072179013779052,0.00040804670475567934,0.9625754734486629,0.025619813527341818,0.39283854744909447,4
311860105280044,98,0.476284,3.192691199050443,30.695107634946577,3.748235847317624,2190796,3.748235847317624,0.3131029157099474,0.0004990903037698906,0.9927473811079451,0.39195472516687574,5
311860110010038,520,0.470051,0.01066894860917,48739.573040314215,1.1973175911917997,2191202,1.1973175911917997,0.0004721177395456193,0.7924861708779453,0.07084492476821765,0.3383895811035071,6
311860110070067,282,0.470051,0.005863634603592,48093.03769154542,1.0391133603715483,2190044,1.0391133603715483,0.0,0.7819737619477476,0.013669878626977052,0.31689046836719215,7
311860110070023,427,0.470051,0.009161177421074,46609.729336509365,1.040590752271089,2189844,1.040590752271089,0.00032398058883089233,0.7578557550554531,0.014203808406142765,0.3075006387206734,8
311860105280056,253,0.524962,0.175405966760861,1442.3682652992443,3.702659200791091,2190885,3.702659200791091,0.016657380250794752,0.023452337233594554,0.9762759703586447,0.30726094007626964,9
311860105280035,413,0.480911,0.453302280331079,911.091820889047,3.572198581565693,2190885,3.572198581565693,0.04396044082884135,0.014813992479116736,0.9291274719578538,0.29785197082765524,10
311860110010034,446,0.470051,0.010577644109844,42164.398363992375,1.1563467743327935,2191202,1.1563467743327935,0.00046314715535859265,0.685576432506172,0.05603806194152428,0.29118093573153364,11
311860105280067,117,0.479266,4.317534252077591,27.098800650788068,2.193532957716871,2190818,2.193532957716871,0.42361772471562714,0.00044061577530366805,0.4308773919934412,0.25652478132284195,12
311860105280065,64,0.472101,5.743089193336179,11.143828320524863,1.7509544848263083,2190885,1.7509544848263083,0.563677203801456,0.00018119423876260157,0.2709294280392525,0.2504544672477176,13
311860105280036,391,0.474721,0.435228921161151,898.3777984166304,2.919418799286928,2190885,2.919418799286928,0.04218474969452678,0.014607267504786582,0.6932127054667938,0.2264621435503108,14
311860105280012,22,0.767569,2.888546575677821,7.616287092354577,2.268705200834053,2190885,2.268705200834053,0.2832209825178699,0.0001238378142774204,0.4580446582952427,0.22242922736964477,15
311860105280026,1037,0.488924,0.335218396099526,3093.5056430856375,2.734022741863268,2190885,2.734022741863268,0.032358806380925254,0.0502991776241142,0.6262105268104885,0.21769047100706979,16
311860105220002,214,0.329392,3.450243706775675,62.024604111223056,2.0079228760344856,2190923,2.0079228760344856,0.3384072158286066,0.0010084955190655222,0.3637978649198115,0.21106492243215164,17
311860105280052,98,0.459176,1.208839897771209,81.06946187058095,2.583797962337111,2190818,2.583797962337111,0.11819132598503657,0.0013181573699837666,0.5719192562393208,0.2075604376153007,18
311860105280043,155,0.47008,1.40210843478465,110.54779798383174,2.428873458239623,2190796,2.428873458239623,0.13717978432806202,0.0017974634503000698,0.5159295041052785,0.19665177191012218,19
311860105180004,41,0.570154,2.725291867136389,15.044260210955281,2.0389523493852746,2190427,2.0389523493852746,0.26718135558042305,0.000244613717859407,0.37501192386988763,0.19275582932223698,20
311860105280051,226,0.488905,3.241980398710217,69.71047699421976,1.8429355420713625,2190885,1.8429355420713625,0.31794553483959703,0.0011334647707629602,0.3041714037110742,0.18708846747350655,21
311860105180022,543,0.44063,0.020517881256455,26464.72085557909,1.0156009538938409,2190427,1.0156009538938409,0.0014397664328413544,0.4303058887455606,0.005172489408720791,0.1741060322506929,22
311860105230122,572,0.464914,0.16062824084599,3561.0176453867307,2.3463963437941326,2190885,2.3463963437941326,0.015205482092536013,0.057900737782152996,0.48612225559133004,0.173558616418021,23
311860105280058,9,0.467118,5.213452474316697,1.7263032595649752,1.124011797395294,2190966,1.124011797395294,0.5116408768780588,2.8069007884315744e-05,0.04435219368887307,0.1668091487732333,24
311860105280045,84,0.531634,3.325634924112917,25.258334699021795,1.6264963127105072,2190729,1.6264963127105072,0.32616451603209323,0.0004106905272195276,0.22595021543235108,0.1657986956502211,25
311860105280042,204,0.495297,1.665585538619901,122.47944958085657,2.0543868930193665,2190796,2.0543868930193665,0.16306617063712128,0.001991467383788671,0.38058997156098157,0.1638934296129463,26
311860105190001,0,0.767569,3.776875866343175,0.0,1.472274010217132,2190109,1.472274010217132,0.3704985290412097,0.0,0.17021423912280748,0.16221383044920515,27
311860105270105,528,0.468674,0.028107156291209,18785.25150426339,1.3618384235634031,2190826,1.3618384235634031,0.0021854058166649467,0.30544075593931136,0.13030279219231455,0.1619227617784184,28
311860105220005,363,0.524707,0.018153365594853,19996.292043108573,1.2789428492365449,2190915,1.2789428492365449,0.0012074549152215034,0.32513179587955776,0.1003443121790477,0.16051824848010388,29
311860110070019,376,0.470051,0.016709338865556,22502.38642146831,1.1165934796328505,2190044,1.1165934796328505,0.0010655805997266616,0.36587989878399485,0.04167121190880929,0.15917299726615872,30
311860105280068,51,0.465159,0.325207306280066,156.82304491670675,2.3059853778854773,2190818,2.3059853778854773,0.03137522589264391,0.002549880653830605,0.47151772302946315,0.15188783693816435,31
311860105280049,293,0.435096,1.205016950146626,243.1501066971281,2.0608288406937594,2190877,2.0608288406937594,0.1178157248507872,0.003953524517861239,0.3829180929621175,0.1518015551510159,32
311860105280009,193,0.487928,0.394957432578815,488.6602557137249,2.246906408180147,7110316,2.246906408180147,0.03822811249338663,0.00794542238994367,0.4501665695150097,0.14969657355849636,33
311860105280011,0,0.767569,0.030949834146668,0.0,2.341024506804012,2190885,2.341024506804012,0.0024646963358313963,0.0,0.48418087244259284,0.14599367063352725,34
311860105230121,396,0.499938,0.192154198987742,2060.844894808996,2.172722002276934,7110316,2.172722002276934,0.018302878865695163,0.0335085224917681,0.42335630781413375,0.14590116500065592,35
311860105280013,75,0.516868,1.296580848231796,57.8444453365795,1.8666722498396788,2190885,1.8666722498396788,0.12681179473046122,0.0009405277915222577,0.31274985546838907,0.132244706176264,36
311860105230094,746,0.320573,0.323624647181289,2305.1396316613163,1.993903806080176,7110316,1.993903806080176,0.03121973107267615,0.037480658243010674,0.3587313697487333,0.1319775935436271,37
311860105280064,355,0.513861,0.103437538389537,3432.022895431832,1.978884802700125,2190818,1.978884802700125,0.009586547484844554,0.05580333419245473,0.3533034984029568,0.1311883474433223,38
311860105220009,468,0.494237,0.032518969174233,14391.600099391477,1.326216252789112,2190915,1.326216252789112,0.002618862428077585,0.23400172270979502,0.11742893131570305,0.1296150272070522,39
311860105280063,488,0.323018,0.163293262106055,2988.488279957662,1.944193229519856,2190818,1.944193229519856,0.0154673180124535,0.04859163685611958,0.3407659557151907,0.1263066368607411,40
311860105280059,40,0.466266,0.214093340933746,186.83439580859513,2.089110048163543,2190966,2.089110048163543,0.020458379649014317,0.003037853343528047,0.39313892797791467,0.12529433362548992,41
311860105270082,464,0.528755,0.03169271578903,14640.588174542218,1.2688377149802903,2190648,1.2688377149802903,0.0025376837829232534,0.23805017028456696,0.0966923142876561,0.12498906753500058,42
311860110090109,379,0.470051,0.026633161847946,14230.379485687285,1.274266219709928,2190052,1.274266219709928,0.002040587200472887,0.23138033932764374,0.09865417717075192,0.12276056504242494,43
311860105280046,97,0.453957,0.625165564464822,155.15889792016557,1.9303544121674023,2190877,1.9303544121674023,0.06084585250473233,0.0025228222821871748,0.3357646038767198,0.11999226582731051,44
311860105280008,730,0.452237,0.902048958127818,809.2687136572922,1.8070274183518529,7110316,1.8070274183518529,0.08804939462126253,0.01315838904799428,0.2911941993729616,0.11903643381746495,45
311860105130045,291,0.43721,0.016347605437925,17800.77217455382,1.013938278359372,2191229,1.013938278359372,0.0010300406187861873,0.28943351160697584,0.00457159808041505,0.1174538962525507,46
311860105210107,451,0.445874,0.028675990876583,15727.442582229636,1.129521464268145,2190923,1.129521464268145,0.002241293298380065,0.2557219928739359,0.04634338858957096,0.11686420171595967,47
311860105280070,45,0.370509,0.358228874681174,125.61801457252794,1.9751917022177856,2190818,1.9751917022177856,0.03461956501630684,0.0020424992085903344,0.35196881102204913,0.11679351249494292,48
311860110070001,443,0.470051,0.028345562965954,15628.548303383128,1.133592032814009,2190044,1.133592032814009,0.0022088290560708505,0.25411401103338954,0.04781449301720971,0.11665260103533999,49
