id_setor,populacao,ivs,area_km2,dens_pop_km2,min_dist_exist_km,cnes_mais_proxima,centralidade_km,n_area,n_dens,n_cent,score,rank_abnc
313760114000010,9,0.421021,17.00301928615855,0.5293177551898988,6.598029928853477,5402034,6.598029928853477,0.7438002279061889,5.8297375565559366e-05,1.0,0.5231633873220829,1
313760105000048,36,0.476109,22.844408220228228,1.5758779852359135,4.512431693763869,5402034,4.512431693763869,1.0,0.00017356219369183228,0.6257009823153693,0.48777971957208754,2
313760105000273,402,0.435372,0.044275002581289,9079.615506784605,2.511892869327751,5324920,2.511892869327751,0.0,1.0,0.2666674425721635,0.48000023277164905,3
313760105000146,68,0.425588,21.041021889786187,3.2317821993716387,4.315765617183457,9342923,4.315765617183457,0.9209045704589898,0.00035593822193866453,0.5904056325028126,0.4535354361773162,4
313760105000272,427,0.407986,0.058921364209448,7246.946939010805,2.273664922747209,5324920,2.273664922747209,0.0006423805285849361,0.7981557075402185,0.22391304966470482,0.3866289120740743,5
313760105000172,123,0.420705,15.408925275147634,7.982386688472115,2.8742299149794164,5402425,2.8742299149794164,0.6738842324252015,0.0008791547045695269,0.33169549925938185,0.3020255813872028,6
313760114000002,133,0.421021,10.50499804542065,12.660640147189508,3.908078885459602,5324920,3.908078885459602,0.45880096151117794,0.001394402674620862,0.5172387393592057,0.2933696713309634,7
313760105000229,578,0.400301,0.090610996982233,6378.916679543148,1.1730646977056367,2116537,1.1730646977056367,0.002032268581881824,0.70255361306617,0.02639006745003859,0.2895481460360442,8
313760105000264,324,0.406436,14.499552918128497,22.345516570715045,2.431491925513194,9342923,2.431491925513194,0.6339997129647933,0.002461064188678221,0.2522380123087586,0.26685574325753686,9
313760114000007,345,0.421021,0.477471060946921,722.5568798154924,4.3139395249268935,5402034,4.3139395249268935,0.018999716108252615,0.07958011870387824,0.5900779066127858,0.21455533429786283,10
313760115000006,0,0.421021,10.747912079339649,0.0,2.2901115397400647,6897061,2.2901115397400647,0.46945502355547275,0.0,0.22686469801244938,0.20889591647037664,11
313760114000008,270,0.421021,0.229742464217108,1175.2289717970832,3.835077045131988,5402034,3.835077045131988,0.008134490262200318,0.1294359844774166,0.5041372144997823,0.20545590521956145,12
313760115000005,74,0.421021,9.419384233788163,7.856139866824359,2.493116027296974,6897061,2.493116027296974,0.4111865988550755,0.0008652502808025271,0.2632975924212128,0.2026913574952075,13
313760105000280,331,0.418459,5.731600131328088,57.75001612390969,2.862185403873007,6844286,2.862185403873007,0.24944262713100732,0.0063604032660586635,0.32953388989485,0.17623711641418066,14
313760115000007,51,0.421021,4.401931489898413,11.585823204435417,3.06065088634748,2116529,3.06065088634748,0.19112416781601818,0.0012760257519471047,0.36515217623814944,0.16739331351702913,15
313760105000050,0,0.657996,4.283401263730999,0.0,2.927185729984841,9342877,2.927185729984841,0.18592550406103306,0.0,0.34119939564926727,0.1581374699130901,16
